,City,Cloudiness (%),Humidity (%),Latitude,Longitude,Proximity to Equator,Temperature (F),Wind Speed (mph)
0,Ancud,12,77,-41.87,-73.83,41.87,45.33,5.75
1,Kurumkan,8,73,54.33,110.32,54.33,56.75,1.59
2,Barrow,64,53,-38.31,-60.23,38.31,49.47,11.9
3,Mahebourg,40,78,-20.41,57.7,20.41,71.6,4.7
4,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
5,Grand Gaube,40,78,-20.01,57.66,20.01,71.6,4.7
6,Ilulissat,92,64,69.22,-51.1,69.22,39.2,16.11
7,Hobart,75,81,-42.88,147.33,42.88,42.8,10.29
8,Ushuaia,20,70,-54.81,-68.31,54.81,42.8,31.09
9,Vredendal,92,91,-31.68,18.49,31.68,54.23,14.79
10,Lebu,8,96,8.96,38.73,8.96,51.44,2.82
11,Azangaro,0,24,-14.91,-70.2,14.91,57.2,6.93
12,Zhigansk,92,72,66.77,123.37,66.77,47.03,5.61
13,Labuhan,88,98,-2.54,115.51,2.54,71.97,1.95
14,Ponta do Sol,8,59,-20.63,-46.0,20.63,62.88,2.73
15,Santa Cruz,1,55,36.97,-122.03,36.97,62.82,19.46
16,Port Lincoln,68,96,-34.72,135.86,34.72,55.76,14.45
17,Puerto Ayora,75,65,-0.74,-90.35,0.74,78.8,17.22
18,Prince Rupert,1,62,54.32,-130.32,54.32,55.4,8.05
19,La Ronge,90,81,55.1,-105.3,55.1,48.2,13.87
20,Chokurdakh,12,100,70.62,147.9,70.62,27.06,6.42
21,Ribeira Grande,56,96,38.52,-28.7,38.52,68.19,15.03
22,Mahebourg,40,78,-20.41,57.7,20.41,71.6,4.7
23,Hermanus,32,72,-34.42,19.24,34.42,58.2,22.19
24,Dikson,36,90,73.51,80.55,73.51,19.59,4.52
25,Pisco,0,88,-13.71,-76.2,13.71,64.4,10.29
26,Dingle,68,98,11.0,122.67,11.0,74.67,3.06
27,Narsaq,20,79,60.91,-46.05,60.91,44.6,3.36
